Accuracy;Precision;Recall;Specificity;F1-Score;ROC-AUC;Split_Index;Epoch;Val_Loss;Val_Accuracy;Val_F1;Val_AUC;Val_Precision;Val_Recall;Val_Specificity;TN;FP;FN;TP
0,924;0,9271;0,9368;0,9079;0,9319;0,9788;5;24;0,30971112847328186;0,9239766001701355;;;;;;69;7;6;89
0,924;0,9362;0,9263;0,9211;0,9312;0,9784;5;25;0,3064112663269043;0,9239766001701355;;;;;;70;6;7;88
0,9181;0,9091;0,9474;0,8816;0,9278;0,981;6;1;0,5888002514839172;0,9181286692619324;;;;;;67;9;5;90
0,9532;0,9485;0,9684;0,9342;0,9583;0,9902;6;2;0,5214976072311401;0,9532163739204407;;;;;;71;5;3;92
0,9415;0,9381;0,9579;0,9211;0,9479;0,988;6;3;0,506266176700592;0,9415204524993896;;;;;;70;6;4;91
0,9532;0,9485;0,9684;0,9342;0,9583;0,9902;6;4;0,4594338536262512;0,9532163739204407;;;;;;71;5;3;92
0,9357;0,9468;0,9368;0,9342;0,9418;0,9886;6;5;0,4478137791156769;0,9356725215911865;;;;;;71;5;6;89
0,9415;0,9474;0,9474;0,9342;0,9474;0,9914;6;6;0,39393705129623413;0,9415204524993896;;;;;;71;5;5;90
0,9591;0,9681;0,9579;0,9605;0,963;0,9936;6;7;0,35787996649742126;0,9590643048286438;;;;;;73;3;4;91
0,9474;0,9479;0,9579;0,9342;0,9529;0,9904;6;8;0,35347220301628113;0,9473684430122375;;;;;;71;5;4;91
0,9298;0,9278;0,9474;0,9079;0,9375;0,9863;6;9;0,3547123670578003;0,9298245906829834;;;;;;69;7;5;90
0,9474;0,93;0,9789;0,9079;0,9538;0,9914;6;10;0,3029388189315796;0,9473684430122375;;;;;;69;7;2;93
0,9357;0,9468;0,9368;0,9342;0,9418;0,9904;6;11;0,2924003005027771;0,9356725215911865;;;;;;71;5;6;89
0,9357;0,92;0,9684;0,8947;0,9436;0,9914;6;12;0,2688615620136261;0,9356725215911865;;;;;;68;8;3;92
0,9415;0,9381;0,9579;0,9211;0,9479;0,992;6;13;0,24727953970432281;0,9415204524993896;;;;;;70;6;4;91
0,9532;0,9485;0,9684;0,9342;0,9583;0,9914;6;14;0,23400352895259857;0,9532163739204407;;;;;;71;5;3;92
0,9474;0,9388;0,9684;0,9211;0,9534;0,9917;6;15;0,22033242881298065;0,9473684430122375;;;;;;70;6;3;92
0,9474;0,9479;0,9579;0,9342;0,9529;0,9931;6;16;0,1987309753894806;0,9473684430122375;;;;;;71;5;4;91
0,9474;0,9479;0,9579;0,9342;0,9529;0,9913;6;17;0,2029358446598053;0,9473684430122375;;;;;;71;5;4;91
0,9474;0,9388;0,9684;0,9211;0,9534;0,9938;6;18;0,18360693752765656;0,9473684430122375;;;;;;70;6;3;92
0,9474;0,9388;0,9684;0,9211;0,9534;0,9914;6;19;0,19320163130760193;0,9473684430122375;;;;;;70;6;3;92
0,9415;0,9474;0,9474;0,9342;0,9474;0,9893;6;20;0,19916512072086334;0,9415204524993896;;;;;;71;5;5;90
0,9474;0,9479;0,9579;0,9342;0,9529;0,991;6;21;0,17607565224170685;0,9473684430122375;;;;;;71;5;4;91
0,9181;0,9263;0,9263;0,9079;0,9263;0,9806;6;22;0,2632966935634613;0,9181286692619324;;;;;;69;7;7;88
0,9415;0,9474;0,9474;0,9342;0,9474;0,987;6;23;0,20284797251224518;0,9415204524993896;;;;;;71;5;5;90
0,9298;0,9278;0,9474;0,9079;0,9375;0,9904;6;24;0,19325318932533264;0,9298245906829834;;;;;;69;7;5;90
0,9357;0,9375;0,9474;0,9211;0,9424;0,9885;6;25;0,20165181159973145;0,9356725215911865;;;;;;70;6;5;90
0,924;0,9457;0,9158;0,9342;0,9305;0,9817;6;26;0,24069219827651978;0,9239766001701355;;;;;;71;5;8;87
0,9064;0,8835;0,9579;0,8421;0,9192;0,9522;7;1;0,7024955749511719;0,9064327478408813;;;;;;64;12;4;91
0,9064;0,8911;0,9474;0,8553;0,9184;0,962;7;2;0,6539998650550842;0,9064327478408813;;;;;;65;11;5;90
0,9123;0,8922;0,9579;0,8553;0,9239;0,9546;7;3;0,7066825032234192;0,9122806787490845;;;;;;65;11;4;91
0,9123;0,8846;0,9684;0,8421;0,9246;0,9587;7;4;0,6450251340866089;0,9122806787490845;;;;;;64;12;3;92
0,9123;0,8922;0,9579;0,8553;0,9239;0,956;7;5;0,6276534795761108;0,9122806787490845;;;;;;65;11;4;91
0,9181;0,8857;0,9789;0,8421;0,93;0,9596;7;6;0,6152626872062683;0,9181286692619324;;;;;;64;12;2;93
0,9123;0,8846;0,9684;0,8421;0,9246;0,9532;7;7;0,6292015910148621;0,9122806787490845;;;;;;64;12;3;92
0,9064;0,8762;0,9684;0,8289;0,92;0,9604;7;8;0,5716823935508728;0,9064327478408813;;;;;;63;13;3;92
0,9064;0,8762;0,9684;0,8289;0,92;0,9544;7;9;0,5834584832191467;0,9064327478408813;;;;;;63;13;3;92
0,8947;0,8667;0,9579;0,8158;0,91;0,9537;7;10;0,5554196834564209;0,8947368264198303;;;;;;62;14;4;91
0,9006;0,8679;0,9684;0,8158;0,9154;0,9533;7;11;0,5587467551231384;0,9005848169326782;;;;;;62;14;3;92
0,9123;0,8846;0,9684;0,8421;0,9246;0,9582;7;12;0,4953254461288452;0,9122806787490845;;;;;;64;12;3;92
0,9123;0,8846;0,9684;0,8421;0,9246;0,9636;7;13;0,45085451006889343;0,9122806787490845;;;;;;64;12;3;92
0,9064;0,8762;0,9684;0,8289;0,92;0,9521;7;14;0,5389953851699829;0,9064327478408813;;;;;;63;13;3;92
0,9064;0,8911;0,9474;0,8553;0,9184;0,9616;7;15;0,44210517406463623;0,9064327478408813;;;;;;65;11;5;90
0,9064;0,8835;0,9579;0,8421;0,9192;0,9575;7;16;0,5007809400558472;0,9064327478408813;;;;;;64;12;4;91
0,9006;0,89;0,9368;0,8553;0,9128;0,955;7;17;0,48673129081726074;0,9005848169326782;;;;;;65;11;6;89
0,9181;0,901;0,9579;0,8684;0,9286;0,9544;7;18;0,46729621291160583;0,9181286692619324;;;;;;66;10;4;91
0,9064;0,8835;0,9579;0,8421;0,9192;0,9539;7;19;0,5127421021461487;0,9064327478408813;;;;;;64;12;4;91
0,9006;0,875;0,9579;0,8289;0,9146;0,9514;7;20;0,5354199409484863;0,9005848169326782;;;;;;63;13;4;91
0,8889;0,8878;0,9158;0,8553;0,9016;0,9731;8;1;0,6268925666809082;0,8888888955116272;;;;;;65;11;8;87
0,9181;0,9091;0,9474;0,8816;0,9278;0,974;8;2;0,601678192615509;0,9181286692619324;;;;;;67;9;5;90
0,9181;0,9091;0,9474;0,8816;0,9278;0,9788;8;3;0,5467619299888611;0,9181286692619324;;;;;;67;9;5;90
