ExtractionMethod;Reduction;Classification;Metodo;Fold;Components;ACC2;ACC
VGG16;PCA;J48;VGG16_PCA_300_J48;7;300;64,7059;0,6471
VGG16;PCA;J48;VGG16_PCA_300_J48;8;300;76,4706;0,7647
VGG16;PCA;J48;VGG16_PCA_300_J48;9;300;55,8824;0,5588
VGG16;PCA;J48;VGG16_PCA_300_J48;10;300;70,5882;0,7059
VGG16;PCA;RBF;VGG16_PCA_300_RBF;1;300;80;0,8
VGG16;PCA;RBF;VGG16_PCA_300_RBF;2;300;80;0,8
VGG16;PCA;RBF;VGG16_PCA_300_RBF;3;300;88,2353;0,8824
VGG16;PCA;RBF;VGG16_PCA_300_RBF;4;300;76,4706;0,7647
VGG16;PCA;RBF;VGG16_PCA_300_RBF;5;300;82,3529;0,8235
VGG16;PCA;RBF;VGG16_PCA_300_RBF;6;300;88,2353;0,8824
VGG16;PCA;RBF;VGG16_PCA_300_RBF;7;300;88,2353;0,8824
VGG16;PCA;RBF;VGG16_PCA_300_RBF;8;300;85,2941;0,8529
VGG16;PCA;RBF;VGG16_PCA_300_RBF;9;300;91,1765;0,9118
VGG16;PCA;RBF;VGG16_PCA_300_RBF;10;300;94,1176;0,9412
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;1;300;88,5714;0,8857
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;2;300;77,1429;0,7714
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;3;300;88,2353;0,8824
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;4;300;82,3529;0,8235
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;5;300;94,1176;0,9412
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;6;300;94,1176;0,9412
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;7;300;79,4118;0,7941
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;8;300;85,2941;0,8529
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;9;300;88,2353;0,8824
VGG16;PCA;LinearSVM;VGG16_PCA_300_LinearSVM;10;300;82,3529;0,8235
VGG16;PCA;MLP;VGG16_PCA_300_MLP;1;300;51,4286;0,5143
VGG16;PCA;MLP;VGG16_PCA_300_MLP;2;300;62,8571;0,6286
VGG16;PCA;MLP;VGG16_PCA_300_MLP;3;300;64,7059;0,6471
VGG16;PCA;MLP;VGG16_PCA_300_MLP;4;300;76,4706;0,7647
VGG16;PCA;MLP;VGG16_PCA_300_MLP;5;300;67,6471;0,6765
VGG16;PCA;MLP;VGG16_PCA_300_MLP;6;300;47,0588;0,4706
VGG16;PCA;MLP;VGG16_PCA_300_MLP;7;300;44,1176;0,4412
VGG16;PCA;MLP;VGG16_PCA_300_MLP;8;300;64,7059;0,6471
VGG16;PCA;MLP;VGG16_PCA_300_MLP;9;300;61,7647;0,6176
VGG16;PCA;MLP;VGG16_PCA_300_MLP;10;300;52,9412;0,5294
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;1;300;85,7143;0,8571
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;2;300;74,2857;0,7429
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;3;300;82,3529;0,8235
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;4;300;79,4118;0,7941
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;5;300;94,1176;0,9412
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;6;300;94,1176;0,9412
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;7;300;85,2941;0,8529
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;8;300;88,2353;0,8824
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;9;300;91,1765;0,9118
VGG16;PCA;Logistic;VGG16_PCA_300_Logistic;10;300;88,2353;0,8824
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;1;300;57,1429;0,5714
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;2;300;68,5714;0,6857
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;3;300;88,2353;0,8824
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;4;300;79,4118;0,7941
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;5;300;61,7647;0,6176
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;6;300;70,5882;0,7059
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;7;300;67,6471;0,6765
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;8;300;82,3529;0,8235
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;9;300;73,5294;0,7353
VGG16;PCA;RandomForest;VGG16_PCA_300_RandomForest;10;300;67,6471;0,6765
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;1;300;57,1429;0,5714
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;2;300;68,5714;0,6857
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;3;300;76,4706;0,7647
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;4;300;79,4118;0,7941
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;5;300;61,7647;0,6176
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;6;300;85,2941;0,8529
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;7;300;85,2941;0,8529
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;8;300;73,5294;0,7353
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;9;300;79,4118;0,7941
VGG16;PCA;Adaboost;VGG16_PCA_300_Adaboost;10;300;70,5882;0,7059
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;1;300;54,2857;0,5429
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;2;300;71,4286;0,7143
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;3;300;76,4706;0,7647
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;4;300;70,5882;0,7059
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;5;300;55,8824;0,5588
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;6;300;70,5882;0,7059
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;7;300;61,7647;0,6176
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;8;300;73,5294;0,7353
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;9;300;70,5882;0,7059
VGG16;PCA;Gaussian;VGG16_PCA_300_Gaussian;10;300;55,8824;0,5588
VGG16;UMAP;J48;VGG16_UMAP_300_J48;1;300;60;0,6
VGG16;UMAP;J48;VGG16_UMAP_300_J48;2;300;65,7143;0,6571
VGG16;UMAP;J48;VGG16_UMAP_300_J48;3;300;64,7059;0,6471
VGG16;UMAP;J48;VGG16_UMAP_300_J48;4;300;76,4706;0,7647
VGG16;UMAP;J48;VGG16_UMAP_300_J48;5;300;70,5882;0,7059
VGG16;UMAP;J48;VGG16_UMAP_300_J48;6;300;67,6471;0,6765
VGG16;UMAP;J48;VGG16_UMAP_300_J48;7;300;70,5882;0,7059
VGG16;UMAP;J48;VGG16_UMAP_300_J48;8;300;70,5882;0,7059
VGG16;UMAP;J48;VGG16_UMAP_300_J48;9;300;58,8235;0,5882
VGG16;UMAP;J48;VGG16_UMAP_300_J48;10;300;67,6471;0,6765
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;1;300;42,8571;0,4286
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;2;300;34,2857;0,3429
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;3;300;50;0,5
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;4;300;58,8235;0,5882
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;5;300;50;0,5
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;6;300;52,9412;0,5294
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;7;300;50;0,5
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;8;300;52,9412;0,5294
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;9;300;35,2941;0,3529
VGG16;UMAP;RBF;VGG16_UMAP_300_RBF;10;300;55,8824;0,5588
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;1;300;57,1429;0,5714
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;2;300;60;0,6
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;3;300;76,4706;0,7647
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;4;300;67,6471;0,6765
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;5;300;73,5294;0,7353
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;6;300;67,6471;0,6765
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;7;300;58,8235;0,5882
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;8;300;67,6471;0,6765
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;9;300;67,6471;0,6765
VGG16;UMAP;LinearSVM;VGG16_UMAP_300_LinearSVM;10;300;64,7059;0,6471
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;1;300;60;0,6
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;2;300;34,2857;0,3429
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;3;300;47,0588;0,4706
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;4;300;55,8824;0,5588
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;5;300;58,8235;0,5882
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;6;300;61,7647;0,6176
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;7;300;50;0,5
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;8;300;52,9412;0,5294
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;9;300;50;0,5
VGG16;UMAP;MLP;VGG16_UMAP_300_MLP;10;300;61,7647;0,6176
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;1;300;65,7143;0,6571
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;2;300;74,2857;0,7429
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;3;300;73,5294;0,7353
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;4;300;73,5294;0,7353
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;5;300;70,5882;0,7059
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;6;300;67,6471;0,6765
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;7;300;61,7647;0,6176
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;8;300;64,7059;0,6471
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;9;300;76,4706;0,7647
VGG16;UMAP;Logistic;VGG16_UMAP_300_Logistic;10;300;64,7059;0,6471
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;1;300;77,1429;0,7714
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;2;300;88,5714;0,8857
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;3;300;70,5882;0,7059
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;4;300;76,4706;0,7647
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;5;300;67,6471;0,6765
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;6;300;64,7059;0,6471
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;7;300;67,6471;0,6765
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;8;300;67,6471;0,6765
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;9;300;79,4118;0,7941
VGG16;UMAP;RandomForest;VGG16_UMAP_300_RandomForest;10;300;67,6471;0,6765
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;1;300;60;0,6
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;2;300;71,4286;0,7143
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;3;300;76,4706;0,7647
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;4;300;70,5882;0,7059
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;5;300;64,7059;0,6471
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;6;300;58,8235;0,5882
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;7;300;58,8235;0,5882
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;8;300;61,7647;0,6176
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;9;300;70,5882;0,7059
VGG16;UMAP;Adaboost;VGG16_UMAP_300_Adaboost;10;300;67,6471;0,6765
VGG16;UMAP;Gaussian;VGG16_UMAP_300_Gaussian;1;300;77,1429;0,7714
VGG16;UMAP;Gaussian;VGG16_UMAP_300_Gaussian;2;300;82,8571;0,8286
VGG16;UMAP;Gaussian;VGG16_UMAP_300_Gaussian;3;300;73,5294;0,7353
VGG16;UMAP;Gaussian;VGG16_UMAP_300_Gaussian;4;300;73,5294;0,7353
